Dataset,Classifier,Method,AUC,F1,Precision,Recall
Credit Default,RF,None,0.7757,0.5421,0.5201,0.566
Credit Default,RF,SMOTE,0.7522,0.5041,0.5474,0.4671
Credit Default,RF,ADASYN,0.7554,0.4758,0.6045,0.3923
Credit Default,RF,G-SMOTE,0.7494,0.5044,0.5589,0.4596
Credit Default,RF,CTGAN,0.7732,0.4671,0.648,0.3651
Credit Default,RF,G-CTGAN,0.7741,0.4699,0.6541,0.3666
Credit Default,LGBM,None,0.7787,0.533,0.4681,0.6188
Credit Default,LGBM,SMOTE,0.7644,0.4812,0.6088,0.3978
Credit Default,LGBM,ADASYN,0.7608,0.5155,0.5177,0.5133
Credit Default,LGBM,G-SMOTE,0.7409,0.4892,0.5532,0.4385
Credit Default,LGBM,CTGAN,0.7791,0.4643,0.6617,0.3576
Credit Default,LGBM,G-CTGAN,0.781,0.4634,0.6632,0.3561
Credit Default,MLP,None,0.7484,0.4428,0.6452,0.337
Credit Default,MLP,SMOTE,0.7322,0.4804,0.4192,0.5625
Credit Default,MLP,ADASYN,0.7679,0.5089,0.5906,0.447
Credit Default,MLP,G-SMOTE,0.6956,0.4437,0.3476,0.6133
Credit Default,MLP,CTGAN,0.7535,0.4655,0.5467,0.4053
Credit Default,MLP,G-CTGAN,0.7525,0.4651,0.5529,0.4013
Credit Default,TabNet,None,0.7606,0.4513,0.654,0.3446
Credit Default,TabNet,SMOTE,0.7366,0.473,0.3936,0.5927
Credit Default,TabNet,ADASYN,0.7467,0.482,0.5278,0.4435
Credit Default,TabNet,G-SMOTE,0.7183,0.4753,0.397,0.5922
Credit Default,TabNet,CTGAN,0.7668,0.443,0.6268,0.3425
Credit Default,TabNet,G-CTGAN,0.7155,0.4539,0.4265,0.4852
Credit Fraud,RF,None,0.9666,0.7902,0.8188,0.7635
Credit Fraud,RF,SMOTE,0.9497,0.8345,0.8923,0.7838
Credit Fraud,RF,ADASYN,0.966,0.8058,0.8615,0.7568
Credit Fraud,RF,G-SMOTE,0.9453,0.8303,0.8915,0.777
Credit Fraud,RF,CTGAN,0.9742,0.8013,0.7987,0.8041
Credit Fraud,RF,G-CTGAN,0.9664,0.8067,0.7961,0.8176
Credit Fraud,LGBM,None,0.9768,0.8476,0.9421,0.7703
Credit Fraud,LGBM,SMOTE,0.97,0.8459,0.9008,0.7973
Credit Fraud,LGBM,ADASYN,0.9672,0.8084,0.8345,0.7838
Credit Fraud,LGBM,G-SMOTE,0.9544,0.7683,0.7246,0.8176
Credit Fraud,LGBM,CTGAN,0.9706,0.8582,0.9291,0.7973
Credit Fraud,LGBM,G-CTGAN,0.9609,0.8243,0.8243,0.8243
Credit Fraud,MLP,None,0.9678,0.7749,0.8537,0.7095
Credit Fraud,MLP,SMOTE,0.9396,0.7375,0.7255,0.75
Credit Fraud,MLP,ADASYN,0.952,0.7872,0.8284,0.75
Credit Fraud,MLP,G-SMOTE,0.9202,0.7379,0.7081,0.7703
Credit Fraud,MLP,CTGAN,0.9708,0.8194,0.8429,0.7973
Credit Fraud,MLP,G-CTGAN,0.963,0.7862,0.8028,0.7703
Credit Fraud,TabNet,None,0.9517,0.7872,0.8284,0.75
Credit Fraud,TabNet,SMOTE,0.9266,0.7093,0.6224,0.8243
Credit Fraud,TabNet,ADASYN,0.9307,0.7104,0.6364,0.8041
Credit Fraud,TabNet,G-SMOTE,0.9053,0.7436,0.7073,0.7838
Credit Fraud,TabNet,CTGAN,0.9555,0.7857,0.9519,0.6689
Credit Fraud,TabNet,G-CTGAN,0.9349,0.8195,0.9237,0.7365
Pima Diabetes,RF,None,0.8394,0.6115,0.6316,0.5926
Pima Diabetes,RF,SMOTE,0.8409,0.6541,0.6667,0.642
Pima Diabetes,RF,ADASYN,0.8409,0.6541,0.6667,0.642
Pima Diabetes,RF,G-SMOTE,0.8161,0.6512,0.6154,0.6914
