dataset,classifier,best_params
credit_default,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_default,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_fraud,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_fraud,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_fraud,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_fraud,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
diabetes,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
diabetes,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
diabetes,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
diabetes,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
ibm_attrition,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
ibm_attrition,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
ibm_attrition,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
ibm_attrition,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
